Id,Sub-Category,Name
TEC-PH-10004093,8,Panasonic Kx-TS550
OFF-ST-10003479,5,"Eldon Base for stackable storage shelf, platinum"
OFF-ST-10003282,5,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
TEC-AC-10000171,12,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
OFF-BI-10003291,9,Wilson Jones Leather-Like Binders with DublLock Round Rings
OFF-ST-10001713,5,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
TEC-AC-10002167,12,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
TEC-PH-10003988,8,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
OFF-BI-10004410,9,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
OFF-LA-10002762,3,Avery 485
FUR-FU-10001706,6,Longer-Life Soft White Bulbs
FUR-CH-10003061,2,"Global Leather Task Chair, Black"
OFF-FA-10000304,14,Advantus Push Pins
TEC-PH-10002447,8,AT&T CL83451 4-Handset Telephone
OFF-ST-10000604,5,Home/Office Personal File Carts
OFF-PA-10001569,11,Xerox 232
FUR-CH-10003968,2,Novimex Turbo Task Chair
OFF-PA-10000587,11,"Array Parchment Paper, Assorted Colors"
OFF-BI-10001460,9,Plastic Binding Combs
OFF-AR-10001868,7,Prang Dustless Chalk Sticks
TEC-AC-10004633,12,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
OFF-BI-10001078,9,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
OFF-PA-10003892,11,Xerox 1943
FUR-FU-10000397,6,Luxo Economy Swing Arm Lamp
FUR-CH-10001146,2,"Global Value Mid-Back Manager's Chair, Gray"
OFF-AR-10002671,7,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
TEC-PH-10002726,8,netTALK DUO VoIP Telephone Service
OFF-PA-10000482,11,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
OFF-BI-10004654,9,Avery Binding System Hidden Tab Executive Style Index Sets
OFF-PA-10004675,11,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
FUR-CH-10000513,2,High-Back Leather Manager's Chair
FUR-FU-10003708,6,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
OFF-ST-10004123,5,Safco Industrial Wire Shelving System
OFF-BI-10004182,9,Economy Binders
FUR-FU-10000260,6,"6"" Cubicle Wall Clock, Black"
OFF-ST-10000615,5,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
FUR-FU-10003194,6,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
OFF-AP-10002118,10,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
OFF-BI-10002309,9,Avery Heavy-Duty EZD  Binder With Locking Rings
OFF-AR-10002053,7,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
OFF-ST-10002370,5,"Sortfiler Multipurpose Personal File Organizer, Black"
OFF-EN-10000927,13,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
OFF-ST-10003656,5,Safco Industrial Wire Shelving
FUR-CH-10000863,2,Novimex Swivel Fabric Task Chair
TEC-AC-10001998,12,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
OFF-LA-10000134,3,Avery 511
OFF-ST-10003442,5,Eldon Portable Mobile Manager
OFF-AR-10004930,7,Turquoise Lead Holder with Pocket Clip
OFF-PA-10000304,11,Xerox 1995
OFF-PA-10003177,11,Xerox 1999
FUR-FU-10003799,6,"Seth Thomas 13 1/2"" Wall Clock"
OFF-BI-10002852,9,Ibico Standard Transparent Covers
OFF-BI-10004738,9,Flexible Leather- Look Classic Collection Ring Binder
FUR-FU-10000629,6,9-3/4 Diameter Round Wall Clock
OFF-BI-10001721,9,Trimflex Flexible Post Binders
OFF-AP-10000358,10,Fellowes Basic Home/Office Series Surge Protectors
OFF-PA-10003256,11,Avery Personal Creations Heavyweight Cards
TEC-AC-10001767,12,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
OFF-BI-10002609,9,Avery Hidden Tab Dividers for Binding Systems
OFF-PA-10004040,11,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
TEC-AC-10001552,12,Logitech K350 2.4Ghz Wireless Keyboard
FUR-FU-10004006,6,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
OFF-BI-10002794,9,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
TEC-AC-10003499,12,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
TEC-PH-10002844,8,Speck Products Candyshell Flip Case
OFF-AR-10000390,7,Newell Chalk Holder
TEC-AC-10000844,12,Logitech Gaming G510s - Keyboard
FUR-FU-10001934,6,Magnifier Swing Arm Lamp
OFF-AR-10000380,7,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
OFF-BI-10003981,9,"Avery Durable Plastic 1"" Binders"
OFF-FA-10000621,14,"OIC Colored Binder Clips, Assorted Sizes"
OFF-EN-10002600,13,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
OFF-PA-10004965,11,Xerox 1921
OFF-EN-10002504,13,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
FUR-TA-10001768,4,Hon Racetrack Conference Tables
OFF-BI-10003650,9,GBC DocuBind 300 Electric Binding Machine
FUR-FU-10002157,6,Artistic Insta-Plaque
OFF-ST-10000777,5,"Companion Letter/Legal File, Black"
OFF-EN-10002500,13,Globe Weis Peel & Seel First Class Envelopes
TEC-PH-10003875,8,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
FUR-CH-10004063,2,Global Deluxe High-Back Manager's Chair
FUR-TA-10004534,4,Bevis 44 x 96 Conference Tables
OFF-BI-10003274,9,"Avery Durable Slant Ring Binders, No Labels"
OFF-ST-10002974,5,"Trav-L-File Heavy-Duty Shuttle II, Black"
FUR-CH-10001146,2,"Global Task Chair, Black"
FUR-FU-10003773,6,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
TEC-PH-10002293,8,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
OFF-PA-10002377,11,Xerox 1916
OFF-FA-10002780,14,Staples
OFF-PA-10001804,11,Xerox 195
OFF-PA-10001736,11,Xerox 1880
OFF-AR-10001149,7,"Sanford Colorific Colored Pencils, 12/Box"
OFF-FA-10002988,14,Ideal Clamps
OFF-BI-10004781,9,GBC Wire Binding Strips
OFF-SU-10001218,15,Fiskars Softgrip Scissors
OFF-AR-10000940,7,Newell 343
OFF-EN-10004030,13,Convenience Packs of Business Envelopes
OFF-PA-10004327,11,Xerox 1911
OFF-AP-10001058,10,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
FUR-FU-10000521,6,"Seth Thomas 14"" Putty-Colored Wall Clock"
TEC-PH-10000215,8,Plantronics Cordless Phone Headset with In-line Volume - M214C
TEC-PH-10001448,8,Anker Astro 15000mAh USB Portable Charger
OFF-BI-10002735,9,GBC Prestige Therm-A-Bind Covers
OFF-AP-10000326,10,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
TEC-PH-10001254,8,Jabra BIZ 2300 Duo QD Duo Corded Headset
OFF-PA-10001950,11,Southworth 25% Cotton Antique Laid Paper & Envelopes
OFF-PA-10002254,11,Xerox 1883
OFF-ST-10001590,5,"Tenex Personal Project File with Scoop Front Design, Black"
OFF-AR-10001547,7,Newell 311
OFF-LA-10002475,3,Avery 519
TEC-PH-10004536,8,Avaya 5420 Digital phone
OFF-PA-10002751,11,Xerox 1920
TEC-AC-10003657,12,Lenovo 17-Key USB Numeric Keypad
OFF-EN-10001990,13,Staple envelope
OFF-BI-10004002,9,Wilson Jones International Size A4 Ring Binders
OFF-AR-10004441,7,BIC Brite Liner Highlighters
TEC-MA-10000822,16,Lexmark MX611dhe Monochrome Laser Printer
OFF-ST-10000991,5,Space Solutions HD Industrial Steel Shelving.
FUR-CH-10004287,2,SAFCO Arco Folding Chair
OFF-AR-10002656,7,Sanford Liquid Accent Highlighters
OFF-AP-10002518,10,Kensington 7 Outlet MasterPiece Power Center
TEC-PH-10003931,8,JBL Micro Wireless Portable Bluetooth Speaker
OFF-PA-10000659,11,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”"
OFF-PA-10001144,11,Xerox 1913
FUR-CH-10003817,2,"Global Value Steno Chair, Gray"
OFF-AP-10000891,10,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
OFF-LA-10003148,3,Avery 51
OFF-AP-10002684,10,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
FUR-CH-10004698,2,"Padded Folding Chairs, Black, 4/Carton"
OFF-SU-10002189,15,Acme Rosewood Handle Letter Opener
OFF-AR-10001940,7,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
OFF-ST-10003455,5,"Tenex File Box, Personal Filing Tote with Lid, Black"
TEC-AC-10004659,12,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
TEC-PH-10003273,8,AT&T TR1909W
TEC-PH-10004896,8,Nokia Lumia 521 (T-Mobile)
TEC-AC-10002345,12,HP Standard 104 key PS/2 Keyboard
OFF-BI-10001890,9,Avery Poly Binder Pockets
TEC-AC-10002323,12,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
OFF-ST-10001328,5,"Personal Filing Tote with Lid, Black/Gray"
FUR-BO-10002613,1,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
TEC-PH-10001552,8,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
OFF-PA-10000061,11,Xerox 205
OFF-AR-10003514,7,4009 Highlighters by Sanford
OFF-AR-10004685,7,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
OFF-AR-10004027,7,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
OFF-ST-10001414,5,Decoflex Hanging Personal Folder File
OFF-BI-10000343,9,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
OFF-PA-10002749,11,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
OFF-PA-10002666,11,Southworth 25% Cotton Linen-Finish Paper & Envelopes
FUR-TA-10004289,4,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
OFF-AP-10003622,10,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
OFF-AP-10003217,10,Eureka Sanitaire  Commercial Upright
FUR-FU-10002960,6,"Eldon 200 Class Desk Accessories, Burgundy"
TEC-PH-10001918,8,Nortel Business Series Terminal T7208 Digital phone
OFF-ST-10000642,5,"Tennsco Lockers, Gray"
TEC-PH-10001700,8,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
OFF-FA-10000134,14,"Advantus Push Pins, Aluminum Head"
OFF-ST-10001522,5,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
TEC-AC-10001266,12,Memorex Micro Travel Drive 8 GB
OFF-LA-10004544,3,Avery 505
FUR-BO-10004695,1,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
TEC-MA-10000864,16,Cisco 9971 IP Video Phone Charcoal
TEC-AC-10000109,12,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
TEC-PH-10002563,8,Adtran 1202752G1
OFF-FA-10000585,14,OIC Bulk Pack Metal Binder Clips
OFF-PA-10004000,11,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
FUR-FU-10000087,6,"Executive Impressions 14"" Two-Color Numerals Wall Clock"
TEC-MA-10001148,16,Swingline SM12-08 MicroCut Jam Free Shredder
OFF-AR-10001958,7,Stanley Bostitch Contemporary Electric Pencil Sharpeners
OFF-AR-10001026,7,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow"
FUR-TA-10003748,4,Bevis 36 x 72 Conference Tables
OFF-ST-10002485,5,Rogers Deluxe File Chest
FUR-CH-10004860,2,Global Low Back Tilter Chair
FUR-CH-10004477,2,"Global Push Button Manager's Chair, Indigo"
OFF-BI-10001679,9,GBC Instant Index System for Binding Systems
FUR-TA-10001705,4,Bush Advantage Collection Round Conference Table
FUR-TA-10003473,4,Bretford Rectangular Conference Table Tops
FUR-FU-10004017,6,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49"""
TEC-AC-10003832,12,Logitech P710e Mobile Speakerphone
OFF-PA-10002479,11,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
OFF-PA-10003349,11,Xerox 1957
FUR-FU-10000576,6,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base
FUR-FU-10004351,6,Staple-based wall hangings
TEC-PH-10000011,8,PureGear Roll-On Screen Protector
FUR-TA-10002607,4,KI Conference Tables
FUR-FU-10002505,6,Eldon 100 Class Desk Accessories
OFF-ST-10002276,5,Safco Steel Mobile File Cart
OFF-PA-10004082,11,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book"
OFF-AP-10002945,10,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room
FUR-CH-10002965,2,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black"
OFF-PA-10004569,11,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page"
OFF-ST-10001228,5,"Fellowes Personal Hanging Folder Files, Navy"
OFF-EN-10003296,13,Tyvek Side-Opening Peel & Seel Expanding Envelopes
OFF-ST-10004804,5,"Belkin 19"" Vented Equipment Shelf, Black"
TEC-PH-10001580,8,Logitech Mobile Speakerphone P710e - speaker phone
TEC-AC-10000290,12,Sabrent 4-Port USB 2.0 Hub
OFF-ST-10002790,5,Safco Industrial Shelving
OFF-BI-10003460,9,Acco 3-Hole Punch
OFF-AP-10002203,10,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac
TEC-MA-10003353,16,Xerox WorkCentre 6505DN Laser Multifunction Printer
TEC-PH-10001433,8,Cisco Small Business SPA 502G VoIP phone
TEC-AC-10004469,12,Microsoft Sculpt Comfort Mouse
OFF-AR-10003602,7,"Quartet Omega Colored Chalk, 12/Pack"
OFF-FA-10003472,14,Bagged Rubber Bands
OFF-ST-10004180,5,Safco Commercial Shelving
OFF-EN-10004386,13,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13"
OFF-ST-10003208,5,Adjustable Depth Letter/Legal Cart
TEC-AC-10003628,12,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling
FUR-FU-10003274,6,Regeneration Desk Collection
OFF-BI-10002557,9,Presstex Flexible Ring Binders
OFF-PA-10002615,11,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled"
OFF-AR-10001427,7,Newell 330
OFF-PA-10000673,11,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad"
OFF-PA-10004470,11,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages"
OFF-ST-10000876,5,Eldon Simplefile Box Office
OFF-LA-10002043,3,Avery 489
OFF-BI-10004967,9,Round Ring Binders
TEC-PH-10001760,8,Bose SoundLink Bluetooth Speaker
FUR-TA-10002903,4,"Bevis Round Bullnose 29"" High Table Top"
OFF-PA-10000474,11,Easy-staple paper
TEC-AC-10001956,12,Microsoft Arc Touch Mouse
OFF-PA-10004100,11,Xerox 216
OFF-BI-10000778,9,GBC VeloBinder Electric Binding Machine
OFF-SU-10000646,15,Premier Automatic Letter Opener
OFF-FA-10002983,14,Advantus SlideClip Paper Clips
OFF-LA-10004689,3,Avery 512
TEC-AC-10002001,12,Logitech Wireless Gaming Headset G930
FUR-BO-10004709,1,"Bush Westfield Collection Bookcases, Medium Cherry Finish"
FUR-FU-10004091,6,"Howard Miller 13"" Diameter Goldtone Round Wall Clock"
FUR-CH-10001891,2,Global Deluxe Office Fabric Chairs
FUR-FU-10002918,6,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection
OFF-BI-10004593,9,Ibico Laser Imprintable Binding System Covers
OFF-FA-10004854,14,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box"
OFF-PA-10002105,11,Xerox 223
OFF-ST-10002756,5,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand"
OFF-PA-10004243,11,Xerox 1939
FUR-FU-10001861,6,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts"
OFF-BI-10002706,9,Avery Premier Heavy-Duty Binder with Round Locking Rings
FUR-TA-10002533,4,BPI Conference Tables
FUR-FU-10002671,6,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp
OFF-AR-10003651,7,Newell 350
OFF-BI-10001072,9,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
OFF-AR-10002135,7,Boston Heavy-Duty Trimline Electric Pencil Sharpeners
OFF-AR-10002804,7,Faber Castell Col-Erase Pencils
FUR-FU-10001918,6,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings
FUR-CH-10004086,2,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs
FUR-FU-10001756,6,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany"
OFF-LA-10000634,3,Avery 509
FUR-FU-10001588,6,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black"
TEC-PH-10002398,8,AT&T 1070 Corded Phone
OFF-PA-10001937,11,Xerox 21
OFF-AR-10003373,7,"Boston School Pro Electric Pencil Sharpener, 1670"
FUR-CH-10002602,2,DMI Arturo Collection Mission-style Design Wood Chair
TEC-MA-10002927,16,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier
TEC-AC-10000892,12,NETGEAR N750 Dual Band Wi-Fi Gigabit Router
OFF-FA-10000624,14,OIC Binder Clips
TEC-AC-10001908,12,Logitech Wireless Headset h800
FUR-FU-10001967,6,Telescoping Adjustable Floor Lamp
TEC-PH-10003645,8,Aastra 57i VoIP phone
OFF-ST-10000675,5,"File Shuttle II and Handi-File, Black"
FUR-CH-10003312,2,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs
OFF-LA-10001074,3,Round Specialty Laser Printer Labels
OFF-BI-10001524,9,GBC Premium Transparent Covers with Diagonal Lined Pattern
TEC-PH-10004614,8,AT&T 841000 Phone
OFF-BI-10001153,9,Ibico Recycled Grain-Textured Covers
OFF-BI-10001982,9,Wilson Jones Custom Binder Spines & Labels
OFF-BI-10001922,9,Storex Dura Pro Binders
TEC-CO-10001449,17,Hewlett Packard LaserJet 3310 Copier
OFF-BI-10004140,9,Avery Non-Stick Binders
OFF-BI-10003314,9,Tuff Stuff Recycled Round Ring Binders
FUR-TA-10004575,4,Hon 5100 Series Wood Tables
OFF-FA-10000490,14,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
OFF-AR-10000122,7,Newell 314
TEC-PH-10000702,8,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"
OFF-AR-10001374,7,"BIC Brite Liner Highlighters, Chisel Tip"
OFF-PA-10001970,11,Xerox 1881
OFF-BI-10002160,9,Acco Hanging Data Binders
OFF-BI-10004995,9,GBC DocuBind P400 Electric Binding System
FUR-BO-10002268,1,Sauder Barrister Bookcases
OFF-EN-10001137,13,"#10 Gummed Flap White Envelopes, 100/Box"
OFF-AR-10002399,7,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush"
OFF-PA-10002713,11,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”"
OFF-AP-10001124,10,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection
OFF-LA-10001158,3,"Avery Address/Shipping Labels for Typewriters, 4"" x 2"""
FUR-CH-10000785,2,Global Ergonomic Managers Chair
OFF-AR-10003732,7,Newell 333
FUR-FU-10000023,6,Eldon Wave Desk Accessories
OFF-BI-10002412,9,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders
OFF-SU-10001225,15,Staple remover
OFF-ST-10002406,5,Pizazz Global Quick File
OFF-PA-10002036,11,Xerox 1930
OFF-ST-10002205,5,File Shuttle I and Handi-File
TEC-AC-10003911,12,NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router
OFF-AR-10000658,7,Newell 324
TEC-AC-10002076,12,Microsoft Natural Keyboard Elite
OFF-PA-10003039,11,Xerox 1960
FUR-TA-10004915,4,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D"
OFF-AP-10000696,10,Holmes Odor Grabber
OFF-ST-10003327,5,Akro-Mils 12-Gallon Tote
OFF-BI-10000309,9,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black"
OFF-PA-10004734,11,Southworth Structures Collection
OFF-BI-10002225,9,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8"""
TEC-AC-10004708,12,Sony 32GB Class 10 Micro SDHC R40 Memory Card
FUR-TA-10000617,4,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal"
TEC-AC-10002335,12,Logitech Media Keyboard K200
TEC-MA-10001681,16,Lexmark MarkNet N8150 Wireless Print Server
FUR-FU-10001935,6,3M Hangers With Command Adhesive
OFF-AR-10004757,7,Crayola Colored Pencils
OFF-BI-10000050,9,"Angle-D Binders with Locking Rings, Label Holders"
TEC-PH-10003012,8,Nortel Meridian M3904 Professional Digital phone
TEC-CO-10002313,17,Canon PC1080F Personal Copier
OFF-BI-10003982,9,Wilson Jones Century Plastic Molded Ring Binders
OFF-BI-10004492,9,Tuf-Vin Binders
OFF-ST-10000798,5,2300 Heavy-Duty Transfer File Systems by Perma
OFF-PA-10002552,11,Xerox 1958
OFF-SU-10002573,15,"Acme 10"" Easy Grip Assistive Scissors"
OFF-ST-10001580,5,Super Decoflex Portable Personal File
OFF-ST-10000934,5,"Contico 72""H Heavy-Duty Storage System"
TEC-AC-10000158,12,Sony 64GB Class 10 Micro SDHC R40 Memory Card
OFF-PA-10001947,11,Xerox 1974
OFF-AR-10003478,7,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack"
OFF-AP-10004249,10,Staple holder
TEC-CO-10004115,17,Sharp AL-1530CS Digital Copier
OFF-PA-10003724,11,"Wirebound Message Book, 4 per Page"
FUR-TA-10002041,4,"Bevis Round Conference Table Top, X-Base"
OFF-PA-10002893,11,"Wirebound Service Call Books, 5 1/2"" x 4"""
OFF-LA-10003766,3,Self-Adhesive Removable Labels
OFF-PA-10001970,11,Xerox 1908
FUR-BO-10001972,1,O'Sullivan 4-Shelf Bookcase in Odessa Pine
FUR-CH-10003956,2,Novimex High-Tech Fabric Mesh Task Chair
OFF-PA-10000157,11,Xerox 191
OFF-AR-10004344,7,Bulldog Vacuum Base Pencil Sharpener
FUR-CH-10004886,2,Bevis Steel Folding Chairs
OFF-PA-10003845,11,Xerox 1987
OFF-AR-10001573,7,American Pencil
OFF-EN-10000483,13,"White Envelopes, White Envelopes with Clear Poly Window"
TEC-AC-10004114,12,KeyTronic 6101 Series - Keyboard - Black
FUR-FU-10004712,6,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black"
OFF-ST-10000918,5,Crate-A-Files
FUR-CH-10000015,2,Hon Multipurpose Stacking Arm Chairs
FUR-FU-10003347,6,Coloredge Poster Frame
OFF-BI-10001543,9,GBC VeloBinder Manual Binding System
TEC-MA-10000029,16,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner"
OFF-AR-10000369,7,Design Ebony Sketching Pencil
OFF-BI-10004584,9,GBC ProClick 150 Presentation Binding System
OFF-ST-10000617,5,Woodgrain Magazine Files by Perma
OFF-ST-10003306,5,Letter Size Cart
OFF-BI-10000773,9,Insertable Tab Post Binder Dividers
TEC-AC-10002600,12,Belkin QODE FastFit Bluetooth Keyboard
TEC-MA-10002937,16,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner"
OFF-PA-10002230,11,Xerox 1897
FUR-CH-10003396,2,Global Deluxe Steno Chair
FUR-FU-10000246,6,Aluminum Document Frame
OFF-ST-10000060,5,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System
OFF-ST-10003058,5,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays
OFF-PA-10002222,11,"Xerox Color Copier Paper, 11"" x 17"", Ream"
FUR-CH-10002372,2,Office Star - Ergonomically Designed Knee Chair
OFF-LA-10001317,3,Avery 520
FUR-FU-10000206,6,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs"
